Lenguaje,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Python,1.23%,1.07%,1.22%,3.75%,2.70%,3.14%,3.57%,4.88%,4.79%,4.63%,4.54%,3.71%,3.81%,2.51%,3.60%,3.98%,3.75%,6.39%,8.92%,10.07%,11.49%,14.81%,14.24%,18.01%
C++,15.62%,15.32%,16.13%,14.00%,10.86%,10.81%,10.08%,10.07%,10.22%,9.75%,7.99%,8.98%,8.94%,6.19%,6.96%,6.10%,5.35%,7.05%,7.09%,6.73%,7.43%,10.26%,12%,10.44%
Java,25.52%,24.26%,23.34%,18.34%,20.13%,21.46%,19.96%,20.35%,19.19%,17.99%,18.60%,16.99%,16.92%,15.62%,18.13%,19.84%,14.45%,16.05%,15.99%,14.96%,11.02%,11.57%,11.12%,16.59%
C,20.75%,18.96%,18.10%,18.19%,19.23%,17.79%,15.19%,15.26%,16.49%,17.29%,16.62%,18.13%,17.53%,17.29%,16.29%,12.33%,7.95%,13.94%,14.46%,16.57%,13.25%,13.71%,13%,9.77%
C#,0.45%,1.42%,1.98%,1.86%,3.13%,3.31%,3.64%,4.18%,4.76%,5.17%,6.93%,6.95%,6.07%,4.69%,4.89%,4.25%,4.01%,3.97%,3.80%,4.83%,5.04%,5.49%,7.20%,6.41%
JavaScript,1.85%,2.05%,2.12%,1.65%,1.71%,1.97%,2.87%,3.03%,3.32%,2.14%,1.82%,1.90%,1.74%,2.39%,2.70%,3%,2.81%,2.99%,2.50%,2.36%,2.35%,2.38%,2.80%,3.45%
Go,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.79%,0.51%,0.15%,0.19%,0.35%,0.16%,0.93%,1.87%,1.20%,1.05%,1.23%,1.17%,1.11%,1.15%,1.93%
Fortran,1.43%,1.22%,0.85%,0.42%,0.71%,0.43%,0.55%,0.31%,0.37%,0.42%,0.42%,0.44%,0.44%,0.41%,0.69%,0.78%,0.78%,0.41%,0.44%,0.32%,0.94%,0.62%,0.93%,1.60%
Visual Bassic,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0.44%,0.87%,1.35%,1.66%,1.73%,1.88%,1.85%,1.26%,1.05%,3.48%,4.61%,4.89%,3.24%,1.93%
SQL,2.49%,2.39%,3.01%,2.63%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.44%,2.27%,2.01%,1.68%,1.79%,1.89%,1.73%,1.82%
